"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-01","56","64","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-02","56","63","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-03","57","68","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-04","54","62","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-05","55","61","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-06","53","61","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-07","52","61","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-08","48","50","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-09","48","50","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-10","51","60","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-11","49","52","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-12","49","54","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-13","55","61","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-14","60","67","55"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-15","62","68","56"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-16","62","69","56"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-17","60","68","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-18","60","69","55"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-19","58","68","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-20","59","68","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-21","58","65","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-22","59","72","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-23","54","62","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-24","55","64","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-25","59","69","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-26","58","71","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-27","52","64","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-28","55","64","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-29","53","57","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-30","48","51","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-01-31","47","53","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-02-01","45","56","39"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-02-02","42","44","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-02-03","43","49","38"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-02-04","44","50","40"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-02-05","44","53","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-02-06","46","49","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2014-02-07","49","50","48"
