STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/1/2014,,63,44
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/2/2014,,63,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/3/2014,,64,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/4/2014,,66,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/5/2014,,66,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/6/2014,,60,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/7/2014,,61,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/8/2014,,56,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/9/2014,,56,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/10/2014,,62,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/11/2014,,55,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/12/2014,,59,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/13/2014,,67,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/14/2014,,68,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/15/2014,,71,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/16/2014,,72,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/17/2014,,67,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/18/2014,,69,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/19/2014,,65,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/20/2014,,69,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/21/2014,,66,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/22/2014,,69,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/23/2014,,68,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/24/2014,,65,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/25/2014,,71,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/26/2014,,70,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/27/2014,,58,48
